判定,No.,カテゴリ,掲載日,タイトル,問題,解答
,94,なかま,2024/11/26,【サッカー部】最終戦を勝利で終え7位で残留確定～大阪府社会人サッカー1部リーグ～,11月17日（日）に行われた大阪府社会人サッカー1部リーグ第11節の最終戦はHOKOKU FCさまと対戦。,
,95,なかま,2024/11/26,【硬式野球部】第2回わくわくふれあい野球教室を開催しました,11月23日（土）に大阪市代表の社会人野球チーム（大阪ガス・日本生命・NTT西日本）が大阪市と連携して①で野球教室を実施いたしました。この野球教室は大阪市在住の小学生を対象に昨年より実施しており、今回が2回目の開催となります。,①桜ノ宮野球場
,96,しごと,2024/11/26,祝！実験集合住宅「NEXT21」が2024年度グッドデザイン賞受賞　,大阪ガスの実験集合住宅「NEXT21 」が、「2024年度グッドデザイン賞」を受賞しました。,
,97,しごと,2024/12/2,【マイリノ】ZEHも学べるモデルルームを神戸市にオープン！,中古マンションの物件探しからリノベーションまで、お客さまのご要望に幅広くお応えするオーダーリノベーションサービス「①」が、今年3月よりZEH水準の住戸を希望されるお客さま向けのリノベサービスを開始し、その第一号住宅が8月に完成しました。,①MYRENO（マイリノ）
,98,なかま,2024/12/3,【陸上競技部】2選手が自己新記録の好走！2024八王子ロングディスタンス,11月23日（土）に東京都初王子市（上柚木公園陸上競技場）で開催された2024八王子ロングディスタンスに大阪ガス陸上競技部から3選手が①に出場し、2選手が自己新記録を更新するパフォーマンスを発揮しました。,"①10,000m"
,99,しごと,2024/12/3,【読売新聞で紹介！】「大阪ガスクッキングスクール」100周年,今年で100周年を迎えた、Daigasグループで料理教室を運営する「①」。10月29日（火）の読売新聞（夕刊）の「サービス・モノがたり」のコーナーでは、「大阪ガスクッキングスクール 逆境に知恵 食卓彩り100年」と題した記事が掲載されました,①大阪ガスクッキングスクール
,100,しごと,2024/12/9,OGNW技能選手権2024を開催！藤原社長もご見学！,10月25日（金）、酉島技能開発センターにて「①」を開催し、大阪ガス藤原社長も視察されました。,①OGNW技能選手権2024
,101,しごと,2024/12/9,令和6年秋の叙勲　瑞宝単光章 阿部 泰司さん,11月3日、大阪ガスネットワーク株式会社 幹線部 高圧O＆Mチーム維持供給第2グループに在籍されている阿部 泰司さんが①を受章され、11月26日に伝達式に出席されました。,①瑞宝単光章
,102,しごと,2024/12/17,【船名 決定！】LNGバンカリング船名、ご応募いただきありがとうございました！,この度、大阪ガス（株）資源海外事業部、大阪ガスインターナショナルトランスポートが新事業として取り組むLNGバンカリング事業にて使用するLNGバンカリング船の船名が決定いたしました！,2026年初旬に発表予定
,103,しごと,2024/12/17,【テレビ出演】びわ湖放送「金曜 オモロしが」に出演しました！,"滋賀県地域のテレビ局、BBCびわ湖放送の番組「①」（11月22日(金)放送）にびわ湖ブルーエナジー(株)（以下BBE）、大津市消防局、(株)大津ガスサービスセンター（以下OGSC）の三者で出演いたしました。
三者が連携して展開する火災予防「大津市火災STOP作戦」を滋賀県のみなさんにアピールするとともに、BBEが展開する「あんしんダブル料金契約」のポイントとなるガス警報器、住宅用消火器の有効性を紹介しました。",①金曜 オモロしが
,104,なかま,2024/12/17,【ラグビー部 動画有】3地域社会人リーグ順位決定戦へ出場決定！！,Daigas Struggersは、関西リーグを2位で終え、創部初となる3①（全国大会）への出場が決定しました！12月22日（日）初戦、九州リーグ王者の日本製鉄八幡さまと対戦します！,①地域社会人リーグ順位決定戦
,105,なかま,2024/12/23,【5つの大学・2つの地域を訪問】インドネシアの助成先への贈呈式を開催しました,"11月10日(日)から20日(水)にかけ、当財団の瀨戸口 哲夫理事長と加藤 浩嗣専務理事がインドネシアの①へ渡航し、現地で助成先への贈呈式などに参加しました。
今回も、助成先である5つの大学（インドネシア大学、バンドン工科大学、ボゴール農業大学、ムラワルマン大学、シャクアラ大学）および2つの地域（ボンタン地域、バンダ・アチェ地域）の全てを訪れて贈呈書をお渡ししました。また、研究助成先である3大学では、昨年度助成した研究者からの成果発表も行われ、活発な質疑がありました。",①ジャワ島・カリマンタン島・スマトラ島
,106,しごと,2024/12/24,【大阪ガスが25位】Forbes World's Best Employers 2024に選定,"世界的な経済誌であるForbesのwebサイトで公表されている「①」にて、大阪ガスが25位に選定されました！48カ国、850社がランクインしており、日本企業ではソニーさまに次ぐ2位です。
本ランキングは50カ国、30万人以上を対象に行ったアンケートをもとに決定されたものです。
アンケート内容は、自分の会社を家族や友人に薦めるかどうか、給与・人材開発・リモートワークのオプションへの評価など様々です。",①Forbes World's Best Employers 2024
,107,いごと,2025/1/9,【闘病中の子どもたちとそのきょうだいのために】 ソーシャルデザインDAY「クリスマスカードプロジェクト」開催！,"大阪ガスネットワーク地域共創部門では、地域社会のさまざまな課題をDaigasグループ従業員の皆さんとともに、地域社会のさまざまな課題をＷell-being※なものとすることを目指し、地域共創活動「①」を行っています。
※Ｗell-being（ウェルビーイングとは）：Well（よい）＋being（状態） WHOによると、個人や社会のよい状態という意味",①ソーシャルデザインDAY
,108,なかま,2025/1/10,【マレーシアを訪問】助成先への贈呈式や生徒たちのオンライン交流会に参加しました！,12月9日(月)から13日(金)にかけて、当財団の瀨戸口 哲夫理事長と加藤 浩嗣専務理事が①へ渡航し、現地で助成先への贈呈式や日本とマレーシアの生徒間オンライン交流会などに参加しました。,①マレーシアのプトラジャヤとサラワク州クチン
,109,なかま,2025/1/14,【陸上競技部】21位でゴール！応援ありがとうございました！ニューイヤー駅伝結果報告,"2025年元日に群馬県で開催されたニューイヤー駅伝（2025全日本実業団対抗駅伝競走大会、群馬県庁発着、全長①）に、3年連続で大阪ガス陸上競技部が出場しました。
男子駅伝実業団日本一を決定する本大会は、各地区で予選を勝ち抜いた強豪チームや、世界選手権やオリンピックの出場選手も出場するハイレベルな大会です。",①100km
,110,経営,2025/1/20,LGBTQ＋への取り組みで最高評価「ゴールド」を取得！,"大阪ガスは、職場におけるLGBTQ+への取り組みを評価する「①」にて、最高評価「ゴールド」を取得しました！

「PRIDE指標」は、性的マイノリティが働きやすい職場づくりを実現するために策定?された、LGBTQ+に関する企業・団体などの取り組みの評価指標です。",①PRIDE指標2024
,111,経営,2025/1/22,新聞各社による藤原社長への年末インタビュー,"藤原社長が10社からの年末（2024年）インタビューに回答されました。
12月10日(火)以降発行の新聞各社紙面にインタビュー内容が掲載されており、電力・蓄電池・e-メタンなどの事業について今後の方向性に言及されました。",
,112,なかま,2025/1/28,【35人が参加！】大阪ガス陸上競技部と走る「陸上競技（長距離）教室」を開催しました,"1月18日(土)に社会貢献活動として、今津総合グラウンドで①（長距離）を開催いたしました。
当日は天候にも恵まれ、参加いただいた35人にウォーミングアップ方法や走り方のレクチャーを行いました。",①陸上競技教室
,113,なかま,2025/2/4,【ゴルフ同好会】全国決勝に出場！企業対抗トーナメント個人戦＆ダブルス戦,第12回 RELO CLUB全日本企業対抗ゴルフトーナメント「①」がJFE瀬戸内海ゴルフ倶楽部にて１月17日（金）に開催され、企業対抗団体戦の個人成績上位者で招待された平岡 哲也選手（OGM）、平木 秀選手（OGNW）、落合 正和選手（OGM）が出場しました。,①リクルートCUP 2024個人戦
,114,なかま,2025/2/6,【弓道部】男女個人優勝！「第212回大阪府実業団弓道射会」,"1月19日（日）、万博記念公園弓道場で「①」が開催され、4事業者31人（11チーム）が参加しました。
個人戦では、12射10中で3人が優勝決定戦に進み、見事、栗山 慎慈選手（大阪ガスセキュリティーサービス）が個人総合優勝、和田 さゆり選手（きんぱい）が女子個人優勝しました！",①第212回大阪府実業団弓道射会
,115,なかま,2025/2/12,【弓道部 動画有】御霊神社のお弓神事に参加！,1月17日（金）にガスビル近くの御霊神社で執り行われたお弓神事で弓道部が奉射しました。,
,116,なかま,2025/2/17,【陸上競技部】陸上部長杯Daigasグループ駅伝大会タイムトライアルを開催！,"2月11日(火祝)に、陸上部長杯Daigasグループ駅伝大会タイムトライアルを今津総合グラウンドで開催いたしました。
外気温が低く肌寒いお天気でしたが、36人が参加し準備運動（体操）やウォーミングアップを選手と一緒に行いました。",
,117,なかま,2025/2/17,【陸上競技部】3選手が入賞！第53回全日本実業団ハーフマラソン大会（10kmの部）,2月9日(日)に山口県（山口循環ハーフマラソンコース）で開催された、①に大阪ガス陸上競技部から3選手が出場しました。,①第53回全日本実業団ハーフマラソン大会（10kmの部）
,118,なかま,2025/2/18,【マンドリンクラブ】新たな音楽の旅へ！弦と情熱が交差する魅惑のコンサート,部員全員が挑戦し成長しレベルアップを目標として部内発表会を毎年開催しております。昨年より部員以外のDaigasグループの皆さんにも気軽に聴きに来ていただけるよう広く門を広げております。,
,119,リフレッシュ,2025/2/27,約20人が参加！開催報告「Daigasよもやま」ご当地トーク～京橋編 ＆ 六甲・灘編～,"Daigasグループ従業員が会社の枠を超えてナナメに交流する「①」。
第17・18回のよもやまを12月13日(金)、1月24日(金)のランチタイムに開催しました。
今回のテーマは「ご当地トーク」と題し、「京橋」(コチラ＞)、「六甲・灘」(コチラ＞)にスポットを当て、それぞれをテーマにフリートークで交流。",①Daigasよもやま
,120,しごと,2025/2/27,酉島地区で今夏竣工予定！新研究開発拠点の上棟式を開催！,"大阪ガス(株)エネルギー技術研究所では、2025年夏の竣工に向け、新たな研究開発拠点を建設中です。
設計：株式会社安井建築設計事務所さま、施工：株式会社大林組さま",
,121,なかま,2025/3/4,【陸上競技部】大阪マラソン2025に3選手が出場！,2月24日（月祝）に開催された大阪マラソン2025（①）に大阪ガス陸上競技部から3選手が出場しました。大阪府庁前スタートの午前9時15分は気温5℃で、ときおり小雪がちらつき、大阪城公園内フィニッシュに向け、ランナーにとって非常に厳しいコンディションとなりました。,①第13回大阪マラソン
,122,しごと,2025/3/11,【びわ湖ブルーエナジー】大津市防火広報イベント 消防ふれあいフェスタ2025に出展！,3月1日(土)に大津市内にある「ブランチ大津京」で開催された、大津市消防局中消防署主催 防火広報イベント「①」に、大津ガスサービスセンター（以下OGSC）と共に参加しました。,①消防ふれあいフェスタ2025
,123,しごと,2025/3/19,【エネルギー業界初】金賞受賞！大阪ガスが「ESGファイナンス・アワード・ジャパン」で快挙,"環境省が主催する第6回「①」の「資金調達者部門」において、大阪ガスがエネルギー業界で初めて最高位である金賞（環境大臣賞）を受賞しました。
※環境省で実施している、ESG金融に積極的に取り組む金融機関や諸団体、サステナブル経営に取り組む企業を評価・表彰する賞。",①ESGファイナンス・アワード・ジャパン※
,124,しごと,2025/3/24,【硬式野球部】第79回JABA東京スポニチ大会に出場しました！,"硬式野球部は今シーズン初の公式戦となるJABA東京スポニチ大会①に出場しました。
この大会で優勝すれば秋に京セラドーム大阪で開催される第50回 社会人野球日本選手権大会の出場権が獲得できる大会になります。
予選リーグを２勝１分で突破し決勝トーナメントに進出すると、準決勝でNTT西日本さまに勝利、決勝戦では鷺宮製作所さまと対戦し、最終回まで2－2の緊迫した試合となりましたが、最後にサヨナラホームランを打たれ、準優勝に終わりました。",①ESGファイナンス・アワード・ジャパン※
,125,しごと,2025/4/8,＼新たに「冷凍冷蔵倉庫開発」へ！／千葉県柏市にて事業参画が決定！,"大阪ガス都市開発(株)は、東急不動産株式会社さま、ダイビル株式会社さまの2社と共同し、柏開発特定目的会社さま（以下、TMK）が計画している「①」に事業参画するため、この度TMKに出資いたしました。
当社では以前より物流施設事業に取り組んでおりますが、昨今の冷凍冷蔵食品消費量の拡大・2030年のフロン規制対応にともなう既存倉庫の建て替えといった社会的ニーズに対応するべく、「冷凍冷蔵倉庫」の開発にも新たに携わることとなりました。",①（仮称）柏冷凍冷蔵倉庫開発プロジェクト
,126,なかま,2025/4/18,"【陸上競技部】坂東選手9位！日本陸上競技選手権大会・10,000m",4月12日(土)に熊本県のえがお健康スタジアムで開催された「①」に、坂東 剛選手（DGE ビジネス開発部）が初出場しました。,"①第109回日本陸上競技選手権大会・10,000m"
,127,しごと,2025/4/21,【3年連続！】大阪ガスが「健康経営銘柄2025」に選定されました,"大阪ガス※1が、経済産業省と東京証券取引所が共同で実施する「」に3年連続で選定されました。電力・ガス業界で3年連続の受賞は大阪ガスが初となります。
※１ OG、OGNW、OGM、DGE、DGPSの5社で申請。",①健康経営銘柄2025
,128,なかま,2025/4/22,“日本人女性のインド就業事情”講演会で登壇～OGINDIA山田さん～,"3月20日(木)、OGINDIAの山田 葵さんが、デリー日本商工会主催の月例報告会(三木会)で、「①」※１の委員として講演会に登壇しました。
※1：デリー日本商工会(JCCII) 2024年に組成",①女性活躍委員会
,129,なかま,2025/4/24,【陸上競技部】西選手3位、辻村選手4位でフィニッシュ！第27回長野マラソン,4月20日(日)に長野県（長野運動公園スタート～長野オリンピックスタジアムフィニッシュ）で開催された「①」に西 研人選手(OGNW 南部事業部)、辻村 公佑選手(DGE ビジネス開発部)、髙畑 凌太選手(DGE 地域基盤営業部)の3選手が出場しました。,①第27回長野マラソン
,130,なかま,2025/4/24,企業内学童保育「Daigas Kids プログラム」を実施しました！,"大阪ガスでは仕事・育児の両立支援策の一つとして、春休みの3日間に①を試行的に実施しました。
仕事に育児に大忙しの従業員にとって、子どもの長期休暇の対応は大きな課題の一つ。そこで、日ごろは大人たちだけが集まる「会社」に、子どもが楽しく安全に過ごせる場所を特別に設けることで、子どもにはワクワクする体験を提供し、保護者には長期休暇の負担を減少し、安心して仕事ができる環境を提供しました。",①企業内学童保育
,131,しごと,2025/5/13,OGNWの「和食だし体験講座」が「プレミア関西 食の「わ」プログラム」として表彰！,"大阪ガスネットワークの食育プログラム「和食だし体験講座」が、近畿農政局が実施する「関西 食の「わ」プロジェクト」において、「①」に認定されました。

「関西 食の「わ」プロジェクト」は、関西の食や食文化の振興、次世代への継承などを目的に実施するもので、認定プログラムのうち特に意欲的かつ活発な活動が「プレミア関西 食の「わ」プログラム」として4月22日（火）に表彰されました。
これまでに第三者の審査を経て、32の団体などが「関西 食の「わ」プログラム」に認定され、その中から当社を含む3団体が「プレミア関西 食の「わ」プログラム」に選ばれています。",①企業内学童保育
,132,なかま,2025/5/15,"【陸上競技部】堀畑選手が7位入賞！第69回関西実業団陸上競技選手権大会・10,000m",4月27日（日）に奈良県立橿原公苑陸上競技場にて第69回関西実業団陸上競技選手権大会・①が開催され、堀畑 佳吾選手（OGM 法人住宅営業部）が出場しました。,"①10,000m"
,133,なかま,2025/5/15,【陸上競技部】各選手が好走！2025年度第1回関西ディスタンスチャレンジ,4月27日（日）に奈良県立橿原公苑陸上競技場で開催された「①」に山中 博生選手（OGNW 兵庫事業部）、坂東 剛選手（DGE ビジネス開発部）、園木 大斗選手（OGM SC部）、松尾 昂来選手（OGM 法人開発営業部）の4選手が出場しました。,①2025年度第1回関西ディスタンスチャレンジ
,134,なかま,2025/5/20,【春のヒューストンで親睦！】ソフトボール大会＆ピクニックを開催！OGUSA Houston（ヒューストン事務所）,"4月13日（日）、毎年恒例となりつつある①共催のソフトボール大会およびピクニックを開催しました。
当日は、屋外でのイベントに絶好のお天気に恵まれ、OGUSAヒューストン事務所とSabine社員と家族総勢約100人がヒューストン市内のBear Creek Pioneers Parkに集まり、ソフトボールとピクニックを楽しみました。",①OGUSA・Sabine
,135,しごと,2025/5/20,【お礼】切手寄贈で被災地の復興支援に貢献,"平素は、Daigasグループ“①”運動にご協力いただきありがとうございます。
昨年12月下旬から未使用ハガキや書き損じハガキなどの募集をグループポータルで呼びかけたところ、20人の方からご協力をいただきました。
いただいたハガキを切手449枚（34,549円相当）に交換し、大阪ボランティア協会さまへ寄贈させていただきました。",①小さな灯
,136,しごと,2025/6/13,6/5締切【地域貢献活動を応援】2025年度コミュニティギフト募集中！,"今年も、皆さんの地域における社会貢献活動を応援するコミュニティギフトの募集を開始します。
夏休みにご活用いただけるよう、募集期間を早めていますので、応募を予定されている方は締め切りなどにご注意いただき、期日(6月5日(木))までに申請書をお送りください。皆さんのご応募をお待ちしています。",
,137,なかま,2025/5/23,【陸上競技部】今年度第1回 大阪ガス陸上競技部と走る陸上競技教室（長距離）を開催！,"5月10日(土)に社会貢献活動として今津総合グラウンドで①を開催いたしました。
当日は天候に恵まれ、参加いただいた21人にウォーミングアップ方法のレクチャーや走り方教室を行いました。",①陸上競技教室（長距離）
,138,なかま,2025/5/26,【硬式野球部】いよいよ第96回都市対抗野球大会近畿地区予選開幕,"いよいよ5月27日（火）より都市対抗野球の近畿地区予選が①で開催され、14チームが５つの代表枠をかけて熱い戦いを繰り広げます。
初戦は27日（火）の2試合目（12：30試合開始）にYBSホールディングスさまとの対戦となります。
皆さんのご声援が選手たちの大きな力となりますので応援よろしくお願いいたします。",①わかさスタジアム京都
,139,しごと,2025/5/27,【特報】”がす燈”が日経で取り上げられました！記者からのコメント有り！,DaigasグループWeb社内報「がす燈」が5月13日（火）発行の日本経済新聞（朝刊ならびに電子版）にて紹介されました。記事では、昨年7月のがす燈リニューアル後、5割近くのDaigasグループ社員の皆さんにご覧いただき、また従業員のエンゲージメント向上へ取り組んでいる内容を中心に、人気コーナーの「①」やゴールド賞グランプリを受賞した社内報アワード2024にも触れられ、「がす燈」の現状から未来展望までが大きく紹介されています。,①GASスタグラム
,140,なかま,2025/5/29,【陸上競技部】壹岐選手がグランプリシリーズにて好成績をおさめました！,壹岐 あいこ選手（OGM）は、4月29日（火・祝）に広島広域公園陸上競技場で行われた、①に出場し、11秒69（＋1.8）で7位入賞、また5月3日（土）に静岡県（小笠山総合運動公園エコパスタジアム）で行われた、静岡国際陸上グランプリ女子200メートルでも、23秒69（＋1.8）で7位入賞しました。,①グランプリ女子100メートル
,141,しごと,2025/5/30,【ご報告】2024年度決算報告 Daigasグループ“小さな灯”運動,"いつもDaigasグループ“①”運動に、ご理解・ご協力をいただき、ありがとうございます。
5月22日(木)、小さな灯運動役員会を開催し、2024年度決算および、小さな灯基金の出入管理について監査部による監査を受けたことを報告しました。また、2025年度の活動計画および予算の承認をいただきましたので、ご報告をさせていただきます。",①小さな灯
,142,なかま,2025/6/2,【NYムスコートファームから】OGUSA-NY(ニューヨーク事務所) 2025年ボランティアシーズンを開始！,"4月24日(木)、①のメンバーは、今年のボランティア活動の開始にあたり、ニューヨーク州カトナにあるムスコートファームを再訪しました。
約30人のチームメンバーが参加し、大阪本社からは松井 毅OGUSA会長と佐藤 克峰資源海外事業部長、さらにヒューストンオフィスの人事担当者も加わりました。",①OGUSA(Osaka Gas USA Corporation)ニューヨーク事務所
,143,なかま,2025/6/10,【初白星！動画有】第96回都市対抗野球大会近畿地区2次予選,6月7日（土）に都市対抗野球大会の近畿地区2次予選が①で行われ、第4代表決定トーナメントの2回戦でマツゲン箕島硬式野球部さまと対戦しました。,①わかさスタジアム京都
,144,しごと,2025/6/11,【都市ガス事業者初！】「Shore to Ship方式」による船舶向けLNG燃料供給開始,"大阪ガスは、都市ガス事業者として初めて「①」によるLNG燃料の船舶供給をスタートしました。
一隻目としてLNG燃料船「VERDE HERALDO」への供給を、大阪ガス泉北製造所にて実施。
この方式では、岸壁や桟橋に停泊中の船へ、陸上LNGタンクから直接LNG燃料を届けることが可能になりました。
従来のLNGタンクローリーから供給する方式に加え、2026年度から開始予定の船同士が近づいて供給する「Ship to Ship方式」もあわせることで、安定的で柔軟な供給が実現します。",①Shore to Ship方式
,145,,,,,
,146,,,,,
,147,,,,,
,148,,,,,
,149,,,,,
,150,,,,,
,151,,,,,
,152,,,,,
,153,,,,,
,154,,,,,
,155,,,,,
,156,,,,,
,157,,,,,
,158,,,,,
,159,,,,,
,160,,,,,
